innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,SRH,6,5,71,2,0,0,0,0,SRH,62.03,10.39,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,15,9,1,0,Travis Head,47,26,5,3,Digvesh Rathi,1.5,0,18,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,208,0,0.82
1,SRH,6,6,71,2,0,1,0,0,SRH,58.91,10.14,0,Travis Head,,field first,Travis Head,47,27,5,3,Nitish Kumar Reddy,15,9,1,0,Digvesh Rathi,1.6,0,18,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,203,0,0.78
1,SRH,7,1,75,2,1,0,0,0,SRH,58.91,10.46,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,19,10,2,0,Travis Head,47,27,5,3,Prince Yadav,0.1,0,4,0,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,209,0,0.74
1,SRH,7,2,76,2,0,0,0,0,SRH,59.07,10.36,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,20,11,2,0,Travis Head,47,27,5,3,Prince Yadav,0.2,0,5,0,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,207,0,0.73
1,SRH,7,3,76,3,0,0,1,0,SRH,60.07,10.13,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,20,11,2,0,Unknown,0,0,0,0,Prince Yadav,0.3,0,5,1,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,0,0,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,203,0,0.79
1,SRH,7,4,77,3,0,0,0,1,SRH,58.69,10.26,0,Heinrich Klaasen,,field first,Heinrich Klaasen,0,0,0,0,Nitish Kumar Reddy,20,11,2,0,Prince Yadav,0.3,0,6,1,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,204,0,0.65
1,SRH,7,5,80,3,0,0,0,0,SRH,60.13,10.21,0,Heinrich Klaasen,,field first,Heinrich Klaasen,3,2,0,0,Nitish Kumar Reddy,20,11,2,0,Prince Yadav,0.5,0,9,1,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,204,0,0.65
1,SRH,7,6,80,3,0,1,0,0,SRH,59.2,10.0,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,20,12,2,0,Heinrich Klaasen,20,12,2,0,Prince Yadav,1.0,0,9,1,Digvesh Rathi,2.0,0,18,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,33.3,146.69,0.0,11.75,0.0,15.5,7.75,12.0,13.0,2.0,0,1,0,200,0,0.79
1,SRH,8,1,81,3,0,0,0,0,SRH,58.85,9.91,0,Heinrich Klaasen,,field first,Heinrich Klaasen,4,3,0,0,Nitish Kumar Reddy,20,12,2,0,Digvesh Rathi,2.1,0,19,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,198,0,0.7
1,SRH,8,2,82,3,0,0,0,0,SRH,57.56,9.84,0,Heinrich Klaasen,,field first,Heinrich Klaasen,4,3,0,0,Nitish Kumar Reddy,21,13,2,0,Digvesh Rathi,2.2,0,20,0,Prince Yadav,1.0,0,9,1,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,40.72,171.38,33.3,146.69,15.5,7.75,12.0,0.0,11.75,0.0,13.0,2.0,0,1,0,197,0,0.69
