innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,RR,7,2,1,0,0,0,0,KKR,62.05,8.31,0,Unknown,KKR,field first,Yashasvi Jaiswal,28,21,2,2,Riyan Parag,19,12,0,2,Varun Chakravarthy,0.2,0,2,0,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,24.02,135.28,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,166,0,0.73
1,RR,7,3,6,1,0,0,0,KKR,62.05,8.93,0,Unknown,KKR,field first,Riyan Parag,25,13,0,3,Yashasvi Jaiswal,28,21,2,2,Varun Chakravarthy,0.3,0,8,0,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,179,0,0.67
1,RR,7,4,0,0,1,0,0,KKR,57.16,8.73,0,Parag,KKR,field first,Riyan Parag,25,14,0,3,Yashasvi Jaiswal,28,21,2,2,Varun Chakravarthy,0.4,0,8,0,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,175,0,0.66
1,RR,7,5,0,0,0,1,0,KKR,55.25,8.55,0,Parag,KKR,field first,Yashasvi Jaiswal,28,21,2,2,Unknown,0,0,0,0,Varun Chakravarthy,0.5,0,8,1,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,0,0,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,171,0,0.77
1,RR,7,6,0,0,1,0,0,KKR,60.89,8.37,0,Unknown,KKR,field first,Nitish Rana,0,1,0,0,Yashasvi Jaiswal,28,21,2,2,Varun Chakravarthy,0.6,0,8,1,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,28.46,135.05,31.52,150.0,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,167,0,0.74
1,RR,8,1,0,0,1,0,0,KKR,62.69,8.2,0,Unknown,KKR,field first,Yashasvi Jaiswal,28,22,2,2,Nitish Rana,0,1,0,0,Moeen Ali,1.1,0,5,0,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,28.46,135.05,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,164,0,0.72
1,RR,8,2,1,0,0,0,0,KKR,64.44,8.16,0,Unknown,KKR,field first,Yashasvi Jaiswal,29,23,2,2,Nitish Rana,0,1,0,0,Moeen Ali,1.2,0,6,0,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,28.46,135.05,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,163,0,0.71
1,RR,8,3,1,0,0,0,0,KKR,65.26,8.11,0,Unknown,KKR,field first,Nitish Rana,1,2,0,0,Yashasvi Jaiswal,29,23,2,2,Moeen Ali,1.3,0,7,0,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,28.46,135.05,31.52,150.0,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,162,0,0.71
1,RR,8,4,0,0,0,1,0,KKR,65.22,7.96,0,Jaiswal,KKR,field first,Nitish Rana,1,2,0,0,Unknown,0,0,0,0,Moeen Ali,1.4,0,7,1,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,28.46,135.05,0,0,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,159,0,0.74
1,RR,8,5,1,0,0,0,0,KKR,64.36,7.92,0,Unknown,KKR,field first,Wanindu Hasaranga,1,1,0,0,Nitish Rana,1,2,0,0,Moeen Ali,1.5,0,8,1,Varun Chakravarthy,1.0,0,8,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,18.0,112.5,28.46,135.05,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,158,0,0.6
